date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2019-04-15,RELIANCE,1340.150024,1348.949951,1335.0,1345.0,4245127.0,1327.852905,0,0,0,4245127.0,0,0
2019-04-16,RELIANCE,1343.75,1360.0,1340.0,1345.0,7936553.0,1331.419678,0,0,0,7936553.0,0,0
2019-04-18,RELIANCE,1385.949951,1389.75,1365.0,1375.0,17960482.0,1373.232422,0,0,0,17960482.0,0,0
2019-04-22,RELIANCE,1345.349976,1367.0,1341.300049,1360.0,10792748.0,1333.005005,0,0,0,10792748.0,0,0
2019-04-23,RELIANCE,1363.849976,1373.0,1346.0,1348.0,9055300.0,1351.335205,0,0,0,9055300.0,0,0
2019-04-24,RELIANCE,1389.5,1394.800049,1366.25,1370.300049,7360887.0,1376.749878,0,0,0,7360887.0,0,0
2019-04-25,RELIANCE,1372.400024,1412.400024,1362.599976,1389.099976,13929820.0,1359.806885,0,0,0,13929820.0,0,0
2019-04-26,RELIANCE,1392.800049,1395.949951,1370.699951,1375.0,6889444.0,1380.019653,0,0,0,6889444.0,0,0
2019-04-30,RELIANCE,1392.800049,1396.400024,1366.800049,1396.400024,10217019.0,1380.019653,0,0,0,10217019.0,0,0
2019-05-02,RELIANCE,1405.050049,1413.900024,1382.099976,1392.0,8682505.0,1392.157349,0,0,0,8682505.0,0,0
2019-05-03,RELIANCE,1408.849976,1417.5,1402.650024,1407.949951,6510169.0,1395.922363,0,0,0,6510169.0,0,0
2019-05-06,RELIANCE,1384.900024,1402.800049,1378.099976,1398.0,7237910.0,1372.192139,0,0,0,7237910.0,0,0
2019-05-07,RELIANCE,1343.5,1395.0,1340.199951,1394.800049,8877095.0,1331.171997,0,0,0,8877095.0,0,0
2019-05-08,RELIANCE,1299.449951,1340.0,1292.199951,1340.0,14610543.0,1287.526245,0,0,0,14610543.0,0,0
2019-05-09,RELIANCE,1256.449951,1288.800049,1251.75,1288.800049,19507368.0,1244.920776,0,0,0,19507368.0,0,0
2019-05-10,RELIANCE,1251.150024,1277.699951,1245.0,1265.0,11226831.0,1239.669434,0,0,0,11226831.0,0,0
2019-05-13,RELIANCE,1232.050049,1260.800049,1227.5,1247.900024,8047801.0,1220.744751,0,0,0,8047801.0,0,0
